,doc,id,original_text,reference_summary,title
legalsum24,TLDRLegal Terms of Service,531ce0015d6e358722000022,as a condition to using some features of the sites tldr may require you to register for an account create a user profile and select a user name and password. you agree to provide tldr with accurate and complete identity information including your email address and agree to update your identity information promptly if it changes. you agree not to impersonate another person falsify your identity use another user s account or otherwise take action to gain access to content to which you do not have the rights to access or use the sites in any way to which you do not have authorization. you are solely responsible for all activity that takes place under the authorization of your account. you hereby release tldr from any and all liabilities arising from such activity. you are responsible for maintaining the security of your password. you agree to promptly inform tldr if you know or suspect that your account s password or security has been breached. c tldr expressly disclaims any and all liability arising from revocation cancellation or suspension of your account for any reason. your account and registration will terminate immediately upon your breach of any of the terms. you may terminate your account and participation as a registered user at any time without notice. d tldr respects your right to privacy. tldr will use any personally identifying information collected by the sites in accordance with tldr s privacy policy located at www tldrlegal com privacy. the servers on which certain personally identifiable information will be collected may be located in the united states or such other jurisdiction as tldr may determine.,you are responsible for all your actions on tldr. we can terminate your account if you breach these terms.,Registered Accounts
legalsum25,TLDRLegal Terms of Service,531ce0015d6e358722000021,the sites may offer you opportunities to contribute content contribution s. in order to make a contribution to the sites you must have a registered account. the owner of any contribution retains copyright rights to such content. if you make a contribution you must have the right to contribute this contribution under cc by either through ownership of the copyright because the contribution is in the public domain or through a license that grants you this right consistent with these terms. if your contribution is protected by copyright then unless it is licensed under cc by or under a license which grants you the right to contribute it under cc by you must not provide the contribution to tldr. you warrant represent and assert that you have the right to provide the contribution that no contribution violates or infringes the rights of any third party including copyright trademark privacy publicity or any other personal or proprietary rights that the contribution does not constitute confidential or trade secret information and is not defamatory libelous or unlawful. you can otherwise license your own copyrighted contribution any way you like or not at all. but when you provide a contribution to the sites you are explicitly granting tldr a license under cc by without regard to any other licenses you apply to your contribution. you understand and agree that the sites and content are a collective work or compilation under the copyright laws of the united states and other countries and that the sites and content do not constitute a joint work under copyright law. you will not assert or attempt to assert any rights over the sites and content as a whole through your contributions. c you hereby designate tldr and its contributors as the sole attribution party under section 4 b of the cc by license to attribute your contribution as part of the collective content of the sites. with this designation you release tldr from the obligation to specifically attribute your contributions to you. d you understand that the cc by license under which you provide a contribution allows tldr and its licensors to use your contribution for any purpose. e you agree that any source code contribution to a project hosted on the sites will be contributed under and subject to the posted license of that project. you acknowledge that you are responsible for including all copyright notices and licenses for your contributions. should you fail to include these notices and licenses you assume all risks of failing to do so including the possible loss of your rights to your contributions. f tldr may but is not obligated to review your contributions. tldr may refuse to accept or delete any contribution that in its sole discretion tldr determines to violate these terms be illegal or objectionable violate the rights or threaten the safety of others deems not to fulfill the purpose of the sites or for any other reason. tldr may in its sole discretion terminate or suspend your registered account if your contribution violates the terms. acceptance of a contribution does not constitute an endorsement or sponsorship of the contribution by tldr g. you hereby grant tldr a royalty free perpetual irrevocable worldwide non exclusive and fully sub licensable right and license under your intellectual property rights and under the terms of the cc by license to reproduce modify adapt publish translate create derivative works from distribute perform display and use your contributions in whole or part and to incorporate them in other works in any form media or technology now known or later developed for the purpose of providing the sites even in the event that you have subsequently deleted the contribution. you agree that you alone are responsible for creating backup copies of your contribution. h if you delete your contribution the cc by license under which you provided your contribution will remain in full force. if you delete your contributions tldr does not warrant that it will be able to or will take responsibility for removing deleted contributions from websites including but not limited to those outside of its reasonable control including email archives wikis project web sites community sites or others computers including those to whom you or others may have forwarded your contribution.,you must own the content that you contribute and release it under our cc by terms with tldrlegal as the attribution party. for simplicity when people link back you allow them to mention only tldrlegal explicitly. tldr is allowed to publish and adapt this content.,Contributing Content
legalsum26,TLDRLegal Terms of Service,531ce0375d6e358722000027,to the fullest extent permitted by the applicable law tldr offers the sites information content and services as is and makes no representations or warranties of any kind concerning the sites information content and services express implied statutory or otherwise including without limitation warranties of title merchantibility fitness for a particular purpose or noninfringement. tldr does not warrant that the sites information content and services will be uninterrupted or error free that defects will be corrected or that tldr s servers are free of viruses or other harmful components. tldr does not warrant or make any representation regarding use or the result of use of the sites information content and services in terms of accuracy reliability or otherwise vii. limitation of liability a. except to the extent required by applicable law and then only to that extent in no event will tldr its employees attorneys managers officers directors affiliates or agents tldr parties be liable to you on any legal theory for any incidental direct indirect punitive actual consequential special exemplary or other damages including without limitation loss of revenue or income lost profits pain and suffering emotional distress cost of substitute goods or services or other damages suffered or incurred by you or any third party that arise in connection with the sites information content and services or the termination thereof for any reason even if the tldr parties have been advised of the possibility of such damages b. the tldr parties shall not be responsible or liable whatsoever in any manner for any information or content on the sites or with the services or posted on the sites including claims of copyright patent trademark tradesecret infringement or the infringement of other property rights relating to content posted on the sites or provided with services for your use of the sites and services or for the conduct of third parties whether on the sites in connection with the sites or services or otherwise relating to the sites or services c. tldr is not a law firm and does not provide legal advice. using the sites or services including sending us an email asking for legal services or otherwise does not create an attorney client relationship. in particular but without limitation any use of any of tldr s sites services content information including without limitation any tools summaries or licenses and or using any licenses attribution generator results license comparisons or any other information or materials does not constitute legal advice nor does it create an attorney client relationship. you are advised to consult with your own legal counsel before using any of the above. d you agree that tldr will have absolutely no liability in connection with the sites and content including without limitation any liability for damage to your computer hardware data information or business resulting from the content available on the sites. without limiting the generality of the foregoing tldr will have no liability for 1. any loss or injury caused in whole or in part by its actions omissions or negligence including but not limited to procuring compiling or delivering the sites or content 2. any errors omissions or inaccuracies in the content offered by the sites regardless of how caused or delays or interruptions in delivery of such content or 3. any decision made or action taken or not taken in reliance upon the content or other information or materials offered by the sites. e tldr makes no warranty representation or guarantee as to the sequence accuracy timeliness or completeness of the content or that the content may be relied upon for any reason. tldr makes no warranty representation or guarantee that the content will be uninterrupted or error free or that any defects can be corrected. f tldr reserves the right to do any of the following at any time without notice to modify suspend or terminate operation of or access to the sites or any portion of the sites for any reason. viii. indemnityyou agree to defend indemnify and hold harmless the tldr parties from and against any and all liabilities including but not limited to losses expenses damages costs and reasonable attorneys fees resulting from or in connection with whether directly or indirectly your use of the sites services content information or violation of these terms. you also agree to defend indemnify and hold harmless the tldr parties from and against any and all claims brought by third parties arising out of your use of any of the sites and any contribution you make available via any of the sites by any means including without limitation through a posting a link or otherwise. tldr parties may participate in the defense and settlement at its own expense with counsel of its own choosing. you shall not settle any claim or action without the tldr parties prior written consent.,we re not a law firm nor liable for the content on the site and offer no warranty.,Disclaimer of Warranties & Limitation of Liability
legalsum27,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000076,minecraft end user licence agreementin order to protect minecraft our game and the members of our community we need these end user licence terms to set out some rules for downloading and using our game. we don t like rules any more than you do so we have tried to keep this as short as possible. if you break these rules we may stop you from using our game. if we think it is necessary we might even have to ask our lawyers to get in touch. if you buy download use or play our game you are agreeing to stick to the rules of these end user licence terms eula. if you don t want to or can t agree to these rules then you must not buy download use or play our game. this eula incorporates the terms of use for the mojang com website account terms our brand and asset usage guidelines and our privacy policy. by agreeing to this eula you also agree to all parts of these three documents so please read through them carefully.,by using minecraft you agree to the end user licence agreement. if you break rules we might keep you from playing minecraft.,
legalsum28,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000075,one major rulethe one major rule is that you must not distribute anything we ve made. by distribute anything we ve made what we mean is give copies of the game away make commercial use of try to make money from or let other people get access to our game and its parts in a way that is unfair or unreasonable. so the one major rule is that unless we specifically agree it such as in brand and asset usage guidelines you must not give copies of our game to anyone else make commercial use of anything we ve made try to make money from anything we ve made orlet other people get access to anything we ve made in a way that is unfair or unreasonable and so that we are crystal clear what we have made includes but is not limited to the client or the server software for our game. it also includes modified versions of a game part of it or anything else we ve made. otherwise we are quite relaxed about what you do in fact we really encourage you to do cool stuff but just don t do those things that we say you can t.,you may not give copies of the game to anyone else or try to make money from anything we ve made.,
legalsum29,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000074,using our gameyou have bought the game so you can use it yourself on your computer. below we also give you limited rights to do other things but we have to draw a line somewhere or else people will go too far. if you wish to make something pertaining to anything we ve made we re humbled but please make sure that it can t be interpreted as being official and that it complies with this eula and the brand and asset usage guidelines and above all do not make commercial use of anything we ve made. the permission we give you to use and play our game can be revoked if you break the terms of this eula when you buy our game we give you permission to install the game on your own personal computer and use and play it on that computer as set out in this eula. this permission is personal to you so you are not allowed to distribute the game or any part of it to anyone else. this also means you cannot sell or rent the game or make it available for access to other people and you cannot pass on or resell any licence keys. you may however give gift codes that have been bought through our official gift code system. this is important to help us stop piracy and fraud and to protect our game. it is also important to prevent members of our community from buying pirated versions of our game or fraudulent licence keys which we may cancel such as in the case of fraud.,you may only use the game on your computer but you may give gift codes.,
legalsum30,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000073,if you ve bought the game you may play around with it and modify it. we d appreciate it if you didn t use this for griefing though and remember not to distribute the changed versions of our software. basically mods or plugins or tools are cool you can distribute those hacked versions of the game client or server are not you can t distribute those.,you may mod the game but don t distribute hacked clients.,
legalsum31,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000072,any tools you write for the game from scratch belong to you. modifications to the game mods including pre run mods and in memory mods and plugins for the game also belong to you and you can do whatever you want with them as long as you don t sell them for money try to make money from them. we have the final say on what constitutes a tool mod plugin and what doesn t.,mods you make belong to you just don t sell them.,
legalsum32,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000071,contentif you make any content available on or through our game you must give us permission to use copy modify and adapt that content. this permission must be irrevocable and you must also let us permit other people to use copy modify and adapt your content. if you don t want to give us this permission do not make content available on or through our game. please think carefully before you make any content available because it will be made public and might even be used by other people in a way you don t like.,if you make stuff available on or through the game you give us the permission to use change it and grant others these permissions.,
legalsum33,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e24000070,if you are going to make something available on or through our game it must not be offensive to people or illegal it must be honest and it must be your own creation. the types of things you must not make available using our game include posts that include racist or homophobic language posts that are bullying or trolling posts that might damage our or another person s reputation posts that include porn advertising or someone else s creation or image or posts that impersonate a moderator or try to trick or exploit people.,things you make available on or through the game must not be offensive to people or illegal.,
legalsum34,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e2400006f,any content you make available on our game must also be your creation. you must not make any content available using the game that infringes the rights of anyone else. if you post content on our game and we get challenged threatened or sued by someone because the content infringes that persons rights we may hold you responsible and that means you may have to pay us back for any damage we suffer as a result. therefore it is really important that you only make content available that you have created and you don t do so with any content created by anyone else.,anything you make available on our game must be your own work.,
legalsum35,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e2400006e,our liability. when you get a copy of our game we provide it as is. updates and upgrades are also provided as is. this means that we are not making any promises to you about the standard or quality of our game or that our game will be uninterrupted or error free or for any loss or damage that they cause. we only promise to provide the game and any services with reasonable skill and care and even then you have to accept that we may release games well before they are complete and so they may and often will have bugs but that s a price you pay for getting them so early. the law in most countries says that we can t disclaim liability for death or personal injury caused by our negligence so if your computer gets up and stabs you because of something we ve done wrong then we ll take the hit on that.,the game is provided as is updates and upgrades not promised.,
legalsum36,Minecraft End User Licence Agreement,53cc5d0a09cc3f9e2400006d,termination. if we want we can terminate this eula if you breach the terms. you can terminate it too at any time all you have to do is uninstall the game from your computer and the eula will be terminated. if the eula is terminated you will no longer be allowed to play our game. the paragraphs about ownership of our game our liability and general stuff will continue to apply even after the eula is terminated.,you can terminate the eula by uninstalling the game.,
legalsum37,YouTube Terms of Service,56f6efd267eca599140045cb,your acceptance by using or visiting the youtube website or any youtube products software data feeds and services provided to you on from or through the youtube website collectively the service you signify your agreement to 1 these terms and conditions the terms of service 2 google s privacy policy found at http www youtube com t privacy and incorporated herein by reference and 3 youtube s community guidelines found at http www youtube com t community_guidelines and also incorporated herein by reference. if you do not agree to any of these terms the google privacy policy or the community guidelines please do not use the service. although we may attempt to notify you when major changes are made to these terms of service you should periodically review the most up to date version http www youtube com t terms. youtube may in its sole discretion modify or revise these terms of service and policies at any time and you agree to be bound by such modifications or revisions. nothing in these terms of service shall be deemed to confer any third party rights or benefits.,you also accept google s privacy policy and youtube s community guidelines. we may change these terms at any time.,
legalsum38,YouTube Terms of Service,56f6efd267eca599140045c9,youtube accounts in order to access some features of the service you will have to create a youtube or google account. you may never use another s account without permission. when creating your account you must provide accurate and complete information. you are solely responsible for the activity that occurs on your account and you must keep your account password secure. you must notify youtube immediately of any breach of security or unauthorized use of your account. although youtube will not be liable for your losses caused by any unauthorized use of your account you may be liable for the losses of youtube or others due to such unauthorized use.,don t lie when you create your account. tell us immediately when your account has been compromised.,
legalsum39,YouTube Terms of Service,56f6efd267eca599140045c8,general use of the service permissions and restrictionsyoutube hereby grants you permission to access and use the service as set forth in these terms of service provided that you agree not to distribute in any medium any part of the service or the content without youtube s prior written authorization unless youtube makes available the means for such distribution through functionality offered by the service such as the embeddable player you agree not to alter or modify any part of the service. you agree not to access content through any technology or means other than the video playback pages of the service itself the embeddable player or other explicitly authorized means youtube may designate. you agree not to use the service for any of the following commercial uses unless you obtain youtube s prior written approval the sale of access to the service the sale of advertising sponsorships or promotions placed on or within the service or content orthe sale of advertising sponsorships or promotions on any page of an ad enabled blog or website containing content delivered via the service unless other material not obtained from youtube appears on the same page and is of sufficient value to be the basis for such sales. prohibited commercial uses do not include uploading an original video to youtube or maintaining an original channel on youtube to promote your business or artistic enterprise showing youtube videos through the embeddable player on an ad enabled blog or website subject to the advertising restrictions set forth above in section 4 d orany use that youtube expressly authorizes in writing. for more information about what constitutes a prohibited commercial use see our faq. if you use the embeddable player on your website you may not modify build upon or block any portion or functionality of the embeddable player including but not limited to links back to the youtube website. if you use the youtube uploader you agree that it may automatically download and install updates from time to time from youtube. these updates are designed to improve enhance and further develop the uploader and may take the form of bug fixes enhanced functions new software modules and completely new versions. you agree to receive such updates and permit youtube to deliver these to you as part of your use of the uploader. you agree not to use or launch any automated system including without limitation robots spiders or offline readers that accesses the service in a manner that sends more request messages to the youtube servers in a given period of time than a human can reasonably produce in the same period by using a conventional on line web browser. notwithstanding the foregoing youtube grants the operators of public search engines permission to use spiders to copy materials from the site for the sole purpose of and solely to the extent necessary for creating publicly available searchable indices of the materials but not caches or archives of such materials. youtube reserves the right to revoke these exceptions either generally or in specific cases. you agree not to collect or harvest any personally identifiable information including account names from the service nor to use the communication systems provided by the service e g comments email for any commercial solicitation purposes. you agree not to solicit for commercial purposes any users of the service with respect to their content. in your use of the service you will comply with all applicable laws. youtube reserves the right to discontinue any aspect of the service at any time.,don t create a youtube clone showing our content especially if you earn money with it. and please leave your bots at home.,
legalsum40,YouTube Terms of Service,56f6efd267eca599140045c6,content is provided to you as is. you may access content for your information and personal use solely as intended through the provided functionality of the service and as permitted under these terms of service. you shall not download any content unless you see a download or similar link displayed by youtube on the service for that content. you shall not copy reproduce distribute transmit broadcast display sell license or otherwise exploit any content for any other purposes without the prior written consent of youtube or the respective licensors of the content. youtube and its licensors reserve all rights not expressly granted in and to the service and the content.,you are not allowed to download videos.,
legalsum41,YouTube Terms of Service,56f6efd267eca599140045c4,d you understand that when using the service you will be exposed to content from a variety of sources and that youtube is not responsible for the accuracy usefulness safety or intellectual property rights of or relating to such content. you further understand and acknowledge that you may be exposed to content that is inaccurate offensive indecent or objectionable and you agree to waive and hereby do waive any legal or equitable rights or remedies you have or may have against youtube with respect thereto and to the extent permitted by applicable law agree to indemnify and hold harmless youtube its owners operators affiliates licensors and licensees to the fullest extent allowed by law regarding all matters related to your use of the service.,you cannot hold us liable for the videos on youtube. it s not our fault you got sick after following that cooking video s recipe.,
legalsum42,YouTube Terms of Service,56f6efd267eca599140045c3,your content and conductas a youtube account holder you may submit content to the service including videos and user comments. you understand that youtube does not guarantee any confidentiality with respect to any content you submit. you shall be solely responsible for your own content and the consequences of submitting and publishing your content on the service. you affirm represent and warrant that you own or have the necessary licenses rights consents and permissions to publish content you submit and you license to youtube all patent trademark trade secret copyright or other proprietary rights in and to such content for publication on the service pursuant to these terms of service. for clarity you retain all of your ownership rights in your content. however by submitting content to youtube you hereby grant youtube a worldwide non exclusive royalty free sublicenseable and transferable license to use reproduce distribute prepare derivative works of display and perform the content in connection with the service and youtube s and its successors and affiliates business including without limitation for promoting and redistributing part or all of the service and derivative works thereof in any media formats and through any media channels. you also hereby grant each user of the service a non exclusive license to access your content through the service and to use reproduce distribute display and perform such content as permitted through the functionality of the service and under these terms of service. the above licenses granted by you in video content you submit to the service terminate within a commercially reasonable time after you remove or delete your videos from the service. you understand and agree however that youtube may retain but not display distribute or perform server copies of your videos that have been removed or deleted. the above licenses granted by you in user comments you submit are perpetual and irrevocable. you further agree that content you submit to the service will not contain third party copyrighted material or material that is subject to other third party proprietary rights unless you have permission from the rightful owner of the material or you are otherwise legally entitled to post the material and to grant youtube all of the license rights granted herein. you further agree that you will not submit to the service any content or other material that is contrary to the youtube community guidelines currently found at http www youtube com t community_guidelines which may be updated from time to time or contrary to applicable local national and international laws and regulations. youtube does not endorse any content submitted to the service by any user or other licensor or any opinion recommendation or advice expressed therein and youtube expressly disclaims any and all liability in connection with content. youtube does not permit copyright infringing activities and infringement of intellectual property rights on the service and youtube will remove all content if properly notified that such content infringes on another s intellectual property rights. youtube reserves the right to remove content without prior notice.,you are responsible for your uploaded content. don t violate copyright laws. our community guidelines define what we don t want you to submit.,
legalsum43,YouTube Terms of Service,56f6efd267eca599140045c2,account termination policy youtube will terminate a user s access to the service if under appropriate circumstances the user is determined to be a repeat infringer. youtube reserves the right to decide whether content violates these terms of service for reasons other than copyright infringement such as but not limited to pornography obscenity or excessive length. youtube may at any time without prior notice and in its sole discretion remove such content and or terminate a user s account for submitting such material in violation of these terms of service.,if you infringe copyright multiple times we close your account. if you are in violation of our community guidelines we may do that immediately.,
legalsum44,YouTube Terms of Service,56f6efd267eca599140045c0,warranty disclaimer you agree that your use of the services shall be at your sole risk. to the fullest extent permitted by law youtube its officers directors employees and agents disclaim all warranties express or implied in connection with the services and your use thereof. youtube makes no warranties or representations about the accuracy or completeness of this site s content or the content of any sites linked to this site and assumes no liability or responsibility for any i errors mistakes or inaccuracies of content ii personal injury or property damage of any nature whatsoever resulting from your access to and use of our services iii any unauthorized access to or use of our secure servers and or any and all personal information and or financial information stored therein iv any interruption or cessation of transmission to or from our services iv any bugs viruses trojan horses or the like which may be transmitted to or through our services by any third party and or v any errors or omissions in any content or for any loss or damage of any kind incurred as a result of the use of any content posted emailed transmitted or otherwise made available via the services. youtube does not warrant endorse guarantee or assume responsibility for any product or service advertised or offered by a third party through the services or any hyperlinked services or featured in any banner or other advertising and youtube will not be a party to or in any way be responsible for monitoring any transaction between you and third party providers of products or services. as with the purchase of a product or service through any medium or in any environment you should use your best judgment and exercise caution where appropriate 10. limitation of liabilityin no event shall youtube its officers directors employees or agents be liable to you for any direct indirect incidental special punitive or consequential damages whatsoever resulting from any i errors mistakes or inaccuracies of content ii personal injury or property damage of any nature whatsoever resulting from your access to and use of our services iii any unauthorized access to or use of our secure servers and or any and all personal information and or financial information stored therein iv any interruption or cessation of transmission to or from our services iv any bugs viruses trojan horses or the like which may be transmitted to or through our services by any third party and or v any errors or omissions in any content or for any loss or damage of any kind incurred as a result of your use of any content posted emailed transmitted or otherwise made available via the services whether based on warranty contract tort or any other legal theory and whether or not the company is advised of the possibility of such damages. the foregoing limitation of liability shall apply to the fullest extent permitted by law in the applicable jurisdiction you specifically acknowledge that youtube shall not be liable for content or the defamatory offensive or illegal conduct of any third party and that the risk of harm or damage from the foregoing rests entirely with you.,there are no warranties and we are not liable for anything bad that happens when using youtube.,
legalsum45,YouTube Terms of Service,56f6efd267eca599140045be,12. ability to accept terms of serviceyou affirm that you are either more than 18 years of age or an emancipated minor or possess legal parental or guardian consent and are fully able and competent to enter into the terms conditions obligations affirmations representations and warranties set forth in these terms of service and to abide by and comply with these terms of service. in any case you affirm that you are over the age of 13 as the service is not intended for children under 13. if you are under 13 years of age then please do not use the service. there are lots of other great web sites for you. talk to your parents about what sites are appropriate for you.,you must be 13 years or older.,
legalsum46,YouTube Terms of Service,56f6efd267eca599140045bd,13. assignmentthese terms of service and any rights and licenses granted hereunder may not be transferred or assigned by you but may be assigned by youtube without restriction 14. generalyou agree that i the service shall be deemed solely based in california and ii the service shall be deemed a passive website that does not give rise to personal jurisdiction over youtube either specific or general in jurisdictions other than california. these terms of service shall be governed by the internal substantive laws of the state of california without respect to its conflict of laws principles. any claim or dispute between you and youtube that arises in whole or in part from the service shall be decided exclusively by a court of competent jurisdiction located in santa clara county california. these terms of service together with the privacy notice at http www youtube com t privacy and any other legal notices published by youtube on the service shall constitute the entire agreement between you and youtube concerning the service. if any provision of these terms of service is deemed invalid by a court of competent jurisdiction the invalidity of such provision shall not affect the validity of the remaining provisions of these terms of service which shall remain in full force and effect. no waiver of any term of this these terms of service shall be deemed a further or continuing waiver of such term or any other term and youtube s failure to assert any right or provision under these terms of service shall not constitute a waiver of such right or provision. youtube reserves the right to amend these terms of service at any time and without notice and it is your responsibility to review these terms of service for any changes. your use of the service following any amendment of these terms of service will signify your assent to and acceptance of its revised terms. you and youtube agree that any cause of action arising out of or related to the services must commence within one 1 year after the cause of action accrues. otherwise such cause of action is permanently barred.,the jurisdiction is california.,
legalsum47,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e00026c,you may not use the sdk for any purpose not expressly permitted by the license agreement. except to the extent required by applicable third party licenses you may not a copy except for backup purposes modify adapt redistribute decompile reverse engineer disassemble or create derivative works of the sdk or any part of the sdk or b load any part of the sdk onto a mobile handset or any other hardware device except a personal computer combine any part of the sdk with other software or distribute any software or device incorporating a part of the sdk.,don t hack the sdk.,​3.3
legalsum48,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e00026b,you agree that you will not take any actions that may cause or result in the fragmentation of android including but not limited to distributing participating in the creation of or promoting in any way a software development kit derived from the sdk.,don t fork the sdk.,3.4
legalsum49,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e00026a,you agree that the form and nature of the sdk that google provides may change without prior notice to you and that future versions of the sdk may be incompatible with applications developed on previous versions of the sdk. you agree that google may stop permanently or temporarily providing the sdk or any features within the sdk to you or to users generally at google s sole discretion without prior notice to you.,it won t be around for ever.,​3.6
legalsum50,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000269,you agree that you will not remove obscure or alter any proprietary rights notices including copyright and trademark notices that may be affixed to or contained within the sdk.,keep copyright and trademark notices intact.,​3.8
legalsum51,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000268,you agree to use the sdk and write applications only for purposes that are permitted by a the license agreement and b any applicable law regulation or generally accepted practices or guidelines in the relevant jurisdictions including any laws regarding the export of data or software to and from the united states or other relevant countries.,stay within the law and license agreement.,4.2
legalsum52,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000267,you agree that if you use the sdk to develop applications you will protect the privacy and legal rights of users. if users provide you with user names passwords or other login information or personal information you must make the users aware that the information will be available to your application and you must provide legally adequate privacy notice and protection for those users. if your application stores personal or sensitive information provided by users it must do so securely. if users provide you with google account information your application may only use that information to access the user s google account when and for the limited purposes for which each user has given you permission to do so.,protect users sensitive data and have an adequate privacy notice.,4.3
legalsum53,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000266,you agree that you will not engage in any activity with the sdk including the development or distribution of an application that interferes with disrupts damages or accesses in an unauthorized manner the servers networks or other properties or services of google or any third party.,no malware.,4.4
legalsum54,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000265,you agree that you are responsible for maintaining the confidentiality of any developer credentials that may be issued to you by google or which you may choose yourself and that you will be solely responsible for all applications that are developed under your developer credentials.,keep your password certificates safe.,5.1
legalsum55,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000264,6 1 in order to continually innovate and improve the sdk google may collect certain usage statistics from the software including but not limited to a unique identifier associated ip address version number of the software and information on which tools and or services in the sdk are being used and how they are being used. before any of this information is collected the sdk will notify you and seek your consent. if you withhold consent the information will not be collected 6 2 the data collected is examined in the aggregate to improve the sdk and is maintained in accordance with google s privacy policy located at http www google com policies privacy.,google collect stats and analyses aggregated data.,6. Privacy and Information
legalsum56,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000263,if you use any api to retrieve data from google you acknowledge that the data may be protected by intellectual property rights which are owned by google or those parties that provide the data or by other persons or companies on their behalf. your use of any such api may be subject to additional terms of service. you may not modify rent lease loan sell distribute or create derivative works based on this data either in whole or in part unless allowed by the relevant terms of service.,data provided by google may be protected.,8.1.1
legalsum57,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000262,if you use any api to retrieve a user s data from google you acknowledge and agree that you shall retrieve data only with the user s explicit consent and only when and for the limited purposes for which the user has given you permission to do so.,get explicit consent if you want to use any user s data.,​8.1.2
legalsum58,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000261,10 1 you expressly understand and agree that your use of the sdk is at your sole risk and that the sdk is provided as is and as available without warranty of any kind from google 10 2 your use of the sdk and any material downloaded or otherwise obtained through the use of the sdk is at your own discretion and risk and you are solely responsible for any damage to your computer system or other device or loss of data that results from such use. without limiting the foregoing you understand that the sdk may contain errors defects and security vulnerabilities that can result in significant damage including the complete irrecoverable loss of use of your computer system or other device.,sdk is provided as is use it at your own risk.,"10.1, 10.2"
legalsum59,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e000260,google further expressly disclaims all warranties and conditions of any kind whether express or implied including but not limited to the implied warranties and conditions of merchantability fitness for a particular purpose and non infringement.,it comes with no warranty.,​10.3
legalsum60,Android SDK License Agreement (June 2014),543ed49a98d9d5a17e00025f,to the maximum extent permitted by law you agree to defend indemnify and hold harmless google its affiliates and their respective directors officers employees and agents from and against any and all claims actions suits or proceedings as well as any and all losses liabilities damages costs and expenses including reasonable attorneys fees arising out of or accruing from a your use of the sdk b any application you develop on the sdk that infringes any intellectual property rights of any person or defames any person or violates their rights of publicity or privacy and c any non compliance by you of the license agreement.,don t blame google.,​12.1
